Depth profiles at each cell, TRIGRS, v. 2.1.00c
Infinite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
cell            1  31.0           1    0.0000000    
  0.0000     -0.51432     -0.51432       0.0000       0.0000       10.000    
 0.70000E-02 -0.50917     -0.50917       0.0000      0.51432E-02   10.000    
 0.14000E-01 -0.50403     -0.50403       0.0000      0.10286E-01   5.5581    
 0.21000E-01 -0.49889     -0.49889       0.0000      0.15429E-01   4.1388    
 0.28000E-01 -0.49374     -0.49374       0.0000      0.20573E-01   3.4292    
 0.35000E-01 -0.48860     -0.48860       0.0000      0.25716E-01   3.0034    
 0.42000E-01 -0.48346     -0.48346       0.0000      0.30859E-01   2.7195    
 0.49000E-01 -0.47831     -0.47831       0.0000      0.36002E-01   2.5168    
 0.56000E-01 -0.47317     -0.47317       0.0000      0.41145E-01   2.3647    
 0.63000E-01 -0.46803     -0.46803       0.0000      0.46288E-01   2.2465    
 0.70000E-01 -0.46288     -0.46288       0.0000      0.51432E-01   2.1518    
 0.77000E-01 -0.45774     -0.45774       0.0000      0.56575E-01   2.0744    
 0.84000E-01 -0.45260     -0.45260       0.0000      0.61718E-01   2.0099    
 0.91000E-01 -0.44745     -0.44745       0.0000      0.66861E-01   1.9553    
 0.98000E-01 -0.44231     -0.44231       0.0000      0.72004E-01   1.9085    
 0.10500     -0.43717     -0.43717       0.0000      0.77147E-01   1.8680    
 0.11200     -0.43202     -0.43202       0.0000      0.82290E-01   1.8325    
 0.11900     -0.42688     -0.42688       0.0000      0.87434E-01   1.8012    
 0.12600     -0.42174     -0.42174       0.0000      0.92577E-01   1.7734    
 0.13300     -0.41660     -0.41660       0.0000      0.97720E-01   1.7485    
 0.14000     -0.41145     -0.41145       0.0000      0.10286       1.7261    
 0.14700     -0.40631     -0.40631       0.0000      0.10801       1.7058    
 0.15400     -0.40117     -0.40117       0.0000      0.11315       1.6873    
 0.16100     -0.39602     -0.39602       0.0000      0.11829       1.6705    
 0.16800     -0.39088     -0.39088       0.0000      0.12344       1.6551    
 0.17500     -0.38574     -0.38574       0.0000      0.12858       1.6409    
 0.18200     -0.38059     -0.38059       0.0000      0.13372       1.6278    
 0.18900     -0.37545     -0.37545       0.0000      0.13887       1.6157    
 0.19600     -0.37031     -0.37031       0.0000      0.14401       1.6044    
 0.20300     -0.36516     -0.36516       0.0000      0.14915       1.5939    
 0.21000     -0.36002     -0.36002       0.0000      0.15429       1.5841    
 0.21700     -0.35488     -0.35488       0.0000      0.15944       1.5750    
 0.22400     -0.34973     -0.34973       0.0000      0.16458       1.5664    
 0.23100     -0.34459     -0.34459       0.0000      0.16972       1.5583    
 0.23800     -0.33945     -0.33945       0.0000      0.17487       1.5507    
 0.24500     -0.33430     -0.33430       0.0000      0.18001       1.5436    
 0.25200     -0.32916     -0.32916       0.0000      0.18515       1.5368    
 0.25900     -0.32402     -0.32402       0.0000      0.19030       1.5304    
 0.26600     -0.31888     -0.31888       0.0000      0.19544       1.5244    
 0.27300     -0.31373     -0.31373       0.0000      0.20058       1.5186    
 0.28000     -0.30859     -0.30859       0.0000      0.20573       1.5132    
 0.28700     -0.30345     -0.30345       0.0000      0.21087       1.5080    
 0.29400     -0.29830     -0.29830       0.0000      0.21601       1.5030    
 0.30100     -0.29316     -0.29316       0.0000      0.22116       1.4983    
 0.30800     -0.28802     -0.28802       0.0000      0.22630       1.4938    
 0.31500     -0.28287     -0.28287       0.0000      0.23144       1.4895    
 0.32200     -0.27773     -0.27773       0.0000      0.23658       1.4854    
 0.32900     -0.27259     -0.27259       0.0000      0.24173       1.4815    
 0.33600     -0.26744     -0.26744       0.0000      0.24687       1.4777    
 0.34300     -0.26230     -0.26230       0.0000      0.25201       1.4741    
 0.35000     -0.25716     -0.25716       0.0000      0.25716       1.4706    
 0.35700     -0.25201     -0.25201       0.0000      0.26230       1.4672    
 0.36400     -0.24687     -0.24687       0.0000      0.26744       1.4640    
 0.37100     -0.24173     -0.24173       0.0000      0.27259       1.4609    
 0.37800     -0.23658     -0.23658       0.0000      0.27773       1.4580    
 0.38500     -0.23144     -0.23144       0.0000      0.28287       1.4551    
 0.39200     -0.22630     -0.22630       0.0000      0.28802       1.4523    
 0.39900     -0.22116     -0.22116       0.0000      0.29316       1.4497    
 0.40600     -0.21601     -0.21601       0.0000      0.29830       1.4471    
 0.41300     -0.21087     -0.21087       0.0000      0.30345       1.4446    
 0.42000     -0.20573     -0.20573       0.0000      0.30859       1.4422    
 0.42700     -0.20058     -0.20058       0.0000      0.31373       1.4399    
 0.43400     -0.19544     -0.19544       0.0000      0.31888       1.4376    
 0.44100     -0.19030     -0.19030       0.0000      0.32402       1.4354    
 0.44800     -0.18515     -0.18515       0.0000      0.32916       1.4333    
 0.45500     -0.18001     -0.18001       0.0000      0.33430       1.4313    
 0.46200     -0.17487     -0.17487       0.0000      0.33945       1.4293    
 0.46900     -0.16972     -0.16972       0.0000      0.34459       1.4274    
 0.47600     -0.16458     -0.16458       0.0000      0.34973       1.4255    
 0.48300     -0.15944     -0.15944       0.0000      0.35488       1.4237    
 0.49000     -0.15429     -0.15429       0.0000      0.36002       1.4219    
 0.49700     -0.14915     -0.14915       0.0000      0.36516       1.4202    
 0.50400     -0.14401     -0.14401       0.0000      0.37031       1.4185    
 0.51100     -0.13887     -0.13887       0.0000      0.37545       1.4169    
 0.51800     -0.13372     -0.13372       0.0000      0.38059       1.4154    
 0.52500     -0.12858     -0.12858       0.0000      0.38574       1.4138    
 0.53200     -0.12344     -0.12344       0.0000      0.39088       1.4123    
 0.53900     -0.11829     -0.11829       0.0000      0.39602       1.4109    
 0.54600     -0.11315     -0.11315       0.0000      0.40117       1.4095    
 0.55300     -0.10801     -0.10801       0.0000      0.40631       1.4081    
 0.56000     -0.10286     -0.10286       0.0000      0.41145       1.4067    
 0.56700     -0.97720E-01 -0.97720E-01   0.0000      0.41660       1.4054    
 0.57400     -0.92577E-01 -0.92577E-01   0.0000      0.42174       1.4041    
 0.58100     -0.87434E-01 -0.87434E-01   0.0000      0.42688       1.4029    
 0.58800     -0.82290E-01 -0.82290E-01   0.0000      0.43202       1.4017    
 0.59500     -0.77147E-01 -0.77147E-01   0.0000      0.43717       1.4005    
 0.60200     -0.72004E-01 -0.72004E-01   0.0000      0.44231       1.3993    
 0.60900     -0.66861E-01 -0.66861E-01   0.0000      0.44745       1.3982    
 0.61600     -0.61718E-01 -0.61718E-01   0.0000      0.45260       1.3970    
 0.62300     -0.56575E-01 -0.56575E-01   0.0000      0.45774       1.3960    
 0.63000     -0.51432E-01 -0.51432E-01   0.0000      0.46288       1.3949    
 0.63700     -0.46288E-01 -0.46288E-01   0.0000      0.46803       1.3939    
 0.64400     -0.41145E-01 -0.41145E-01   0.0000      0.47317       1.3928    
 0.65100     -0.36002E-01 -0.36002E-01   0.0000      0.47831       1.3918    
 0.65800     -0.30859E-01 -0.30859E-01   0.0000      0.48346       1.3909    
 0.66500     -0.25716E-01 -0.25716E-01   0.0000      0.48860       1.3899    
 0.67200     -0.20573E-01 -0.20573E-01   0.0000      0.49374       1.3890    
 0.67900     -0.15429E-01 -0.15429E-01   0.0000      0.49889       1.3881    
 0.68600     -0.10286E-01 -0.10286E-01   0.0000      0.50403       1.3872    
 0.69300     -0.51432E-02 -0.51432E-02   0.0000      0.50917       1.3863    
 0.70000     -0.81572E-15 -0.81572E-15   0.0000      0.51432       1.3854    
