Depth profiles at each cell, TRIGRS, v. 2.1.00c
Infinite-depth no-flow boundary
Cell Number, Slope angle, Step#, Time
Z         P      Pzero     Ptran      Pbeta       FS
cell            1  15.0           1    0.0000000    
 0.10000E-02  -1.6652      -1.6652       0.0000      0.83301E-03   10.000    
 0.60990E-01  -1.6152      -1.6152       0.0000      0.50805E-01   10.000    
 0.12098      -1.5652      -1.5652       0.0000      0.10078       7.2241    
 0.18097      -1.5153      -1.5153       0.0000      0.15075       5.2314    
 0.24096      -1.4653      -1.4653       0.0000      0.20072       4.2308    
 0.30095      -1.4153      -1.4153       0.0000      0.25070       3.6292    
 0.36094      -1.3654      -1.3654       0.0000      0.30067       3.2276    
 0.42093      -1.3154      -1.3154       0.0000      0.35064       2.9404    
 0.48092      -1.2654      -1.2654       0.0000      0.40061       2.7249    
 0.54091      -1.2154      -1.2154       0.0000      0.45058       2.5572    
 0.60090      -1.1655      -1.1655       0.0000      0.50056       2.4229    
 0.66089      -1.1155      -1.1155       0.0000      0.55053       2.3131    
 0.72088      -1.0655      -1.0655       0.0000      0.60050       2.2215    
 0.78087      -1.0156      -1.0156       0.0000      0.65047       2.1440    
 0.84086     -0.96558     -0.96558       0.0000      0.70045       2.0775    
 0.90085     -0.91561     -0.91561       0.0000      0.75042       2.0199    
 0.96084     -0.86563     -0.86563       0.0000      0.80039       1.9695    
  1.0208     -0.81566     -0.81566       0.0000      0.85036       1.9250    
  1.0808     -0.76569     -0.76569       0.0000      0.90034       1.8855    
  1.1408     -0.71572     -0.71572       0.0000      0.95031       1.8501    
  1.2008     -0.66574     -0.66574       0.0000       1.0003       1.8183    
  1.2608     -0.61577     -0.61577       0.0000       1.0503       1.7895    
  1.3208     -0.56580     -0.56580       0.0000       1.1002       1.7633    
  1.3808     -0.51583     -0.51583       0.0000       1.1502       1.7393    
  1.4408     -0.46585     -0.46585       0.0000       1.2002       1.7174    
  1.5008     -0.41588     -0.41588       0.0000       1.2501       1.6972    
  1.5607     -0.36591     -0.36591       0.0000       1.3001       1.6786    
  1.6207     -0.31594     -0.31594       0.0000       1.3501       1.6613    
  1.6807     -0.26596     -0.26596       0.0000       1.4001       1.6453    
  1.7407     -0.21599     -0.21599       0.0000       1.4500       1.6304    
  1.8007     -0.16602     -0.16602       0.0000       1.5000       1.6165    
  1.8607     -0.11605     -0.11605       0.0000       1.5500       1.6035    
  1.9207     -0.66075E-01 -0.66075E-01   0.0000       1.6000       1.5913    
  1.9807     -0.16102E-01 -0.16102E-01   0.0000       1.6499       1.5798    
  2.0407      0.33870E-01  0.33870E-01   0.0000       1.6999       1.5594    
  2.1007      0.83843E-01  0.83843E-01   0.0000       1.7499       1.5357    
  2.1606      0.13382      0.13382       0.0000       1.7998       1.5134    
  2.2206      0.18379      0.18379       0.0000       1.8498       1.4922    
  2.2806      0.23376      0.23376       0.0000       1.8998       1.4722    
  2.3406      0.28373      0.28373       0.0000       1.9498       1.4532    
  2.4006      0.33370      0.33370       0.0000       1.9997       1.4351    
  2.4606      0.38368      0.38368       0.0000       2.0497       1.4179    
  2.5206      0.43365      0.43365       0.0000       2.0997       1.4015    
  2.5806      0.48362      0.48362       0.0000       2.1496       1.3859    
  2.6406      0.53359      0.53359       0.0000       2.1996       1.3710    
  2.7006      0.58357      0.58357       0.0000       2.2496       1.3568    
  2.7605      0.63354      0.63354       0.0000       2.2996       1.3432    
  2.8205      0.68351      0.68351       0.0000       2.3495       1.3302    
  2.8805      0.73348      0.73348       0.0000       2.3995       1.3177    
  2.9405      0.78346      0.78346       0.0000       2.4495       1.3057    
  3.0005      0.83343      0.83343       0.0000       2.4995       1.2942    
  3.0605      0.88340      0.88340       0.0000       2.5494       1.2831    
  3.1205      0.93337      0.93337       0.0000       2.5994       1.2725    
  3.1805      0.98335      0.98335       0.0000       2.6494       1.2623    
  3.2405       1.0333       1.0333       0.0000       2.6993       1.2524    
  3.3005       1.0833       1.0833       0.0000       2.7493       1.2429    
  3.3604       1.1333       1.1333       0.0000       2.7993       1.2338    
  3.4204       1.1832       1.1832       0.0000       2.8493       1.2250    
  3.4804       1.2332       1.2332       0.0000       2.8992       1.2164    
  3.5404       1.2832       1.2832       0.0000       2.9492       1.2082    
  3.6004       1.3332       1.3332       0.0000       2.9992       1.2002    
  3.6604       1.3831       1.3831       0.0000       3.0492       1.1925    
  3.7204       1.4331       1.4331       0.0000       3.0991       1.1851    
  3.7804       1.4831       1.4831       0.0000       3.1491       1.1779    
  3.8404       1.5330       1.5330       0.0000       3.1991       1.1709    
  3.9004       1.5830       1.5830       0.0000       3.2490       1.1641    
  3.9603       1.6330       1.6330       0.0000       3.2990       1.1575    
  4.0203       1.6830       1.6830       0.0000       3.3490       1.1512    
  4.0803       1.7329       1.7329       0.0000       3.3990       1.1450    
  4.1403       1.7829       1.7829       0.0000       3.4489       1.1390    
  4.2003       1.8329       1.8329       0.0000       3.4989       1.1331    
  4.2603       1.8829       1.8829       0.0000       3.5489       1.1275    
  4.3203       1.9328       1.9328       0.0000       3.5988       1.1219    
